"","sub","acc_odd_.2_htgt/hdst","acc_odd_.2_htgt/ldst","acc_odd_.2_ltgt/ldst","acc_odd_.2_ltgt/hdst","acc_odd_.5_htgt/hdst","acc_odd_.5_htgt/ldst","acc_odd_.5_ltgt/ldst","acc_odd_.5_ltgt/hdst","acc_odd_.8_htgt/hdst","acc_odd_.8_htgt/ldst","acc_odd_.8_ltgt/ldst","acc_odd_.8_ltgt/hdst","acc_even_.2_htgt/hdst","acc_even_.2_htgt/ldst","acc_even_.2_ltgt/ldst","acc_even_.2_ltgt/hdst","acc_even_.5_htgt/hdst","acc_even_.5_htgt/ldst","acc_even_.5_ltgt/ldst","acc_even_.5_ltgt/hdst","acc_even_.8_htgt/hdst","acc_even_.8_htgt/ldst","acc_even_.8_ltgt/ldst","acc_even_.8_ltgt/hdst","mu_odd_.2_htgt/hdst","mu_odd_.2_htgt/ldst","mu_odd_.2_ltgt/ldst","mu_odd_.2_ltgt/hdst","mu_odd_.5_htgt/hdst","mu_odd_.5_htgt/ldst","mu_odd_.5_ltgt/ldst","mu_odd_.5_ltgt/hdst","mu_odd_.8_htgt/hdst","mu_odd_.8_htgt/ldst","mu_odd_.8_ltgt/ldst","mu_odd_.8_ltgt/hdst","mu_even_.2_htgt/hdst","mu_even_.2_htgt/ldst","mu_even_.2_ltgt/ldst","mu_even_.2_ltgt/hdst","mu_even_.5_htgt/hdst","mu_even_.5_htgt/ldst","mu_even_.5_ltgt/ldst","mu_even_.5_ltgt/hdst","mu_even_.8_htgt/hdst","mu_even_.8_htgt/ldst","mu_even_.8_ltgt/ldst","mu_even_.8_ltgt/hdst"
"11",11,0.615384615384615,0.636363636363636,0.6,0.625,0.844444444444444,0.763157894736842,0.767441860465116,0.763157894736842,0.837209302325581,0.8,0.777777777777778,0.714285714285714,0.714285714285714,0.333333333333333,0.6,0.583333333333333,0.714285714285714,0.619047619047619,0.837837837837838,0.80952380952381,0.837837837837838,0.8,0.931818181818182,0.666666666666667,0.419857142857143,0.541428571428571,0.4024,0.4598,0.426305555555556,0.489037037037037,0.389068965517241,0.467035714285714,0.368527777777778,0.406741935483871,0.364481481481481,0.401,0.3862,0.4205,0.444166666666667,0.595285714285714,0.405958333333333,0.451807692307692,0.431322580645161,0.488,0.385066666666667,0.422516129032258,0.358631578947368,0.403034482758621
"12",12,1,0.666666666666667,0.909090909090909,0.571428571428571,0.8,0.780487804878049,0.69047619047619,0.736842105263158,0.833333333333333,0.658536585365854,0.891891891891892,0.54,0.428571428571429,0.636363636363636,0.666666666666667,0.615384615384615,0.888888888888889,0.58974358974359,0.736842105263158,0.619047619047619,0.772727272727273,0.641025641025641,0.697674418604651,0.533333333333333,0.305416666666667,0.32925,0.3066,0.55675,0.338666666666667,0.397428571428571,0.336769230769231,0.365851851851852,0.346133333333333,0.356115384615385,0.33875,0.3666,0.331666666666667,0.342,0.324833333333333,0.336285714285714,0.314736842105263,0.346739130434783,0.354714285714286,0.38172,0.334029411764706,0.357521739130435,0.340642857142857,0.482133333333333
"13",13,1,1,0.769230769230769,0.888888888888889,0.914285714285714,0.933333333333333,0.864864864864865,0.846153846153846,0.857142857142857,0.883720930232558,0.880952380952381,0.833333333333333,0.833333333333333,1,0.857142857142857,0.818181818181818,0.822222222222222,0.971428571428571,0.837209302325581,0.878048780487805,0.866666666666667,0.945945945945946,0.921052631578947,0.921052631578947,0.506875,0.503272727272727,0.5531,0.584125,0.514354838709677,0.493829268292683,0.505125,0.54403125,0.492241379310345,0.459891891891892,0.516527777777778,0.611117647058824,0.582222222222222,0.495625,0.5905,0.572375,0.506138888888889,0.471705882352941,0.533628571428571,0.550971428571429,0.502025641025641,0.457970588235294,0.488352941176471,0.552028571428571
"14",14,1,0.857142857142857,0.833333333333333,0.923076923076923,0.970588235294118,0.846153846153846,0.918918918918919,0.85,1,0.926829268292683,0.956521739130435,0.878048780487805,0.9,0.846153846153846,1,0.714285714285714,0.956521739130435,0.951219512195122,0.976744186046512,0.775,1,0.871794871794872,0.970588235294118,0.846153846153846,0.476333333333333,0.677,0.525222222222222,0.642,0.439709677419355,0.443666666666667,0.47530303030303,0.513806451612903,0.430105263157895,0.426918918918919,0.4355,0.488694444444444,0.539444444444444,0.437909090909091,0.551625,0.5402,0.456285714285714,0.446864864864865,0.491,0.476483870967742,0.439487179487179,0.428470588235294,0.436875,0.44321875
"15",15,1,0.857142857142857,0.928571428571429,1,0.904761904761905,0.971428571428571,0.936170212765957,0.833333333333333,0.837837837837838,0.974358974358974,0.902439024390244,0.735294117647059,1,0.923076923076923,0.833333333333333,0.545454545454545,0.842105263157895,0.955555555555556,0.909090909090909,0.8125,0.906976744186046,1,0.897435897435897,0.934782608695652,0.466428571428571,0.5025,0.531769230769231,0.615888888888889,0.468789473684211,0.377818181818182,0.490214285714286,0.562775,0.5104,0.394228571428571,0.470108108108108,0.551666666666667,0.4875,0.424916666666667,0.4628,0.497333333333333,0.493206896551724,0.404024390243902,0.480466666666667,0.549192307692308,0.485051282051282,0.39774358974359,0.470117647058824,0.547232558139535
"16",16,0.833333333333333,1,1,0.777777777777778,0.883720930232558,0.941176470588235,0.710526315789474,0.894736842105263,0.780487804878049,0.926829268292683,0.926829268292683,0.943396226415094,0.928571428571429,0.909090909090909,1,0.727272727272727,0.810810810810811,0.91304347826087,0.928571428571429,0.833333333333333,0.897435897435897,0.923076923076923,0.769230769230769,0.814814814814815,0.5662,0.476222222222222,0.500857142857143,0.530714285714286,0.547888888888889,0.501903225806452,0.567185185185185,0.589,0.53575,0.512918918918919,0.552243243243243,0.554244897959184,0.520615384615385,0.5573,0.585307692307692,0.46425,0.540566666666667,0.510925,0.55327027027027,0.5858125,0.544666666666667,0.504942857142857,0.563724137931034,0.58947619047619
"17",17,0.846153846153846,0.727272727272727,0.833333333333333,0.666666666666667,0.857142857142857,0.833333333333333,0.864864864864865,0.705882352941177,0.95,0.777777777777778,0.902439024390244,0.804347826086957,0.714285714285714,0.777777777777778,1,0.714285714285714,0.947368421052632,0.973684210526316,0.86046511627907,0.717391304347826,0.925,0.886363636363636,0.923076923076923,0.617647058823529,0.6929,0.602,0.5536,0.7535,0.553628571428571,0.627151515151515,0.522354838709677,0.671478260869565,0.536513513513514,0.594807692307692,0.534805555555556,0.671457142857143,0.7258,0.657714285714286,0.635142857142857,0.774222222222222,0.541529411764706,0.600916666666667,0.539142857142857,0.64934375,0.531972222222222,0.591315789473684,0.508333333333333,0.675952380952381
"18",18,0.5,0.545454545454545,0.833333333333333,0.5,0.928571428571429,0.939393939393939,0.976190476190476,0.945945945945946,0.952380952380952,0.938775510204082,1,0.953488372093023,0.833333333333333,0.333333333333333,0.625,0.4,0.961538461538462,0.808510638297872,0.973684210526316,0.837209302325581,1,0.903225806451613,0.971428571428571,0.972972972972973,0.897,1.466,1.1063,1.0934,0.678782608695652,0.926,0.651684210526316,0.982848484848485,0.575410256410256,0.64454347826087,0.56225,0.647536585365854,0.9433,1.63566666666667,0.7305,1.08025,0.69392,0.889621621621622,0.705142857142857,0.9455,0.551594594594595,0.682333333333333,0.561515151515152,0.717914285714286
"19",19,0.6,0.846153846153846,0.818181818181818,0.833333333333333,0.944444444444444,0.657894736842105,0.951219512195122,0.764705882352941,0.953488372093023,0.930232558139535,0.95,0.772727272727273,0.666666666666667,0.571428571428571,0.888888888888889,0.75,0.931818181818182,0.857142857142857,0.923076923076923,0.673913043478261,0.891891891891892,0.891891891891892,0.95,0.75,0.594666666666667,0.590727272727273,0.663333333333333,0.7006,0.597264705882353,0.647708333333333,0.614078947368421,0.687576923076923,0.59475,0.646625,0.625342857142857,0.690757575757576,0.7215,0.6575,0.665875,0.706,0.610153846153846,0.65275,0.619794117647059,0.6499,0.589129032258065,0.63775,0.615684210526316,0.647
"20",20,0.7,1,0.727272727272727,1,0.906976744186046,0.976190476190476,0.833333333333333,0.875,0.837837837837838,0.972972972972973,0.857142857142857,0.933333333333333,0.7,0.875,0.777777777777778,1,0.918918918918919,1,0.840909090909091,0.8,0.790697674418605,1,0.822222222222222,0.971428571428571,0.435142857142857,0.399909090909091,0.440714285714286,0.481083333333333,0.424615384615385,0.41025,0.417466666666667,0.515176470588235,0.419225806451613,0.348833333333333,0.418689655172414,0.454487804878049,0.461666666666667,0.425714285714286,0.436714285714286,0.494125,0.45069696969697,0.408078947368421,0.417777777777778,0.52140625,0.386787878787879,0.340414634146341,0.408444444444444,0.460852941176471
