"","htgt/hdst_.2","htgt/ldst_.2","ltgt/ldst_.2","ltgt/hdst_.2","htgt/hdst_.5","htgt/ldst_.5","ltgt/ldst_.5","ltgt/hdst_.5","htgt/hdst_.8","htgt/ldst_.8","ltgt/ldst_.8","ltgt/hdst_.8","htgt/ldst_.2","ltgt/ldst_.2","ltgt/hdst_.2","htgt/hdst_.5","htgt/ldst_.5","ltgt/ldst_.5","ltgt/hdst_.5","htgt/hdst_.8","htgt/ldst_.8","ltgt/ldst_.8","ltgt/hdst_.8"
"11",-1.10719755226586,-0.796462957739207,-0.943761294262278,-0.797062342976402,-1.00501995674543,-0.609031745037001,-0.955273790580301,-0.882495112515895,-1.14444998430256,-0.854193030516821,-1.04631394183096,-1.30126651881385,0.145752694890279,-0.22830985166524,0.127439126188878,-0.354441214798037,-0.335989164946119,-0.320457241206741,-0.36661365678195,-0.27769797133552,-0.435939071824165,-0.288008068738248,-0.545086685361496
"12",-1.68844278533718,-1.52062556694069,-1.46131670479755,-1.27373072840205,-1.50035433795484,-1.28507272832427,-1.29797195789812,-1.44986366292572,-1.33797228670293,-1.23379592343396,-1.08918558641033,-1.48535809762198,-0.414662406862841,-0.300729360790457,-0.097815498094279,-0.376934013667992,-0.297709260076068,-0.257656167550627,-0.182188376000826,-0.269402229836206,-0.209390446590007,-0.247200652025754,0.201007055867187
"13",-0.188455087088626,-0.358314152171923,0.0508180789952674,-0.348071476704498,-0.260236606581654,-0.616380016594471,-0.126567313248115,-0.37468458673473,-0.214054299685392,-0.552858775314555,-0.268499818748069,-0.200474016961127,-0.415775189719133,-0.248112410269557,-0.492260805615831,-0.411616604308965,-0.348194889829517,-0.367810605913841,-0.411345098483201,-0.25516882827511,-0.419719485598082,-0.223762623704125,-0.134717368795342
"14",-0.36032867751294,-0.42525355302248,-0.214195233628216,-0.246587239807424,-0.737753204294316,-0.759671311965142,-0.422533912295325,-0.688147874253968,-0.712746386640196,-0.889413917488514,-0.599223934074654,-1.03827854908794,0.167400466698921,-0.291806225995249,-0.0741256758837843,-0.390088284408482,-0.355446247496581,-0.333471283537337,-0.375364836474046,-0.28388339198771,-0.369795414975361,-0.275362794183523,-0.248606162015438
"15",-0.725950678961024,-0.92729905940166,-0.572742656589401,-0.369598436046301,-0.616592276516477,-1.16750038340474,-0.438111101718862,-0.192875879973572,-0.459678760424325,-1.1750944451478,-0.378741190523597,-0.320697088835827,-0.267778561749778,-0.22842984653089,-0.134178283263294,-0.225128614172793,-0.423260518295341,-0.26912185099756,-0.265214419660598,-0.183443145013385,-0.343811085925133,-0.226675532201477,-0.208004619734801
"16",-0.197830010202679,-0.473936753641067,-0.0926008901892057,-0.701728665891272,-0.078495214914895,-0.491459400117477,0.0634743977190406,-0.333934359357228,-0.0354183282388957,-0.239784224455059,0.175527928681141,-0.155390365008115,-0.247258067938303,-0.254720267104877,-0.489565007296698,-0.31614777992132,-0.331494265618761,-0.32856103241108,-0.217016046934004,-0.220425982514599,-0.277404079535811,-0.241576771502594,-0.43225645655648
"17",0.536538967064842,0.408446257570825,0.0851139194524238,0.842061846906644,-0.053550318019457,0.412378001451368,-0.139029064786945,0.214626393801438,-0.0205319972850209,0.312009671434804,-0.188881050243521,0.52837835627924,-0.337010003662728,-0.224443101628243,-0.361154856292071,-0.33984490371447,-0.314101786991877,-0.348137621517191,-0.32798641632416,-0.233820784855432,-0.332038886012771,-0.216364045284254,-0.237705772384009
"18",1.94590240854421,4.96032551540872,1.55048164807639,2.90864994371979,0.929991331000653,2.13187354589941,0.546367269848697,1.55624926438378,0.199041384284631,0.754227474523843,0.135718544428867,0.269147357549418,10.2578555353194,1.87079491858453,0.973901966399834,-0.160273324374501,2.33698482271814,-0.111079896695513,2.50480428117327,-0.197087438681102,0.0196371578385565,-0.256322078416254,0.526269935153238
"19",0.467789530895116,0.23805505540577,0.521606434361692,0.577587774993057,0.345568032307544,0.831229480227174,0.381249061959202,0.286722949930863,0.306967283700223,0.812928952809999,0.362325808634119,0.874019687919001,-0.17068088000044,-0.158868591103658,-0.400157498736442,-0.31209170969824,-0.141220786197798,-0.260328418455402,-0.321369435254334,-0.150905142796169,-0.108713742364083,-0.114329617940034,-0.332676909602278
"20",-0.632201447820489,-0.982067660097571,-0.790988914044035,-0.4464804336956,-0.716371864098227,-0.994816001804191,-0.80884820999905,-0.54708939487031,-0.854166530702005,-1.53904361052197,-0.752336950429554,-0.89927062223282,-0.429536974673677,-0.323791282053645,-0.21550320649741,-0.418986344354684,-0.45269910457067,-0.370753639482338,-0.354445348393752,-0.291393334636088,-0.401956418233902,-0.279097523285653,-0.530650414169079
"21",0.986535276539407,0.368891157068223,1.06722207799828,0.445350739036263,1.00126246498762,1.04800349117255,0.70213916408407,0.224030292427015,0.723784550408715,1.44299148641474,0.742046089194272,0.979214875809363,-0.194916728163143,0.0305354762353205,-0.149383311593298,1.21692745634202,0.0725414232935677,0.190323735509123,0.158996602969793,0.157974834595404,0.0926297873838799,0.400014222266588,0.250739333099564
"22",-0.650951294048596,-0.288332051282704,-0.872051809670042,-1.0707622546079,-0.495431348738637,-0.102001007571551,-0.494188983643596,-0.550224027745503,-0.61598523544001,-0.0949872446825418,-0.280748860056461,-0.444677131706611,-0.312768742407798,-0.305627151024847,-0.478720008274249,-0.292982325095993,-0.0755662363094904,-0.369185899298202,-0.197913029328387,-0.258530141179853,-0.148530305248359,-0.263392998257902,-0.389518258000705
"23",-0.538452216679955,-0.236606150625455,-0.363849810168537,-0.314243397738807,-0.531066915732119,0.0780316455864703,-0.413187598641202,-0.17720271559761,-0.578769408055323,-0.427628954970757,-0.507356124261714,-0.523573522624383,-0.305414199903341,-0.276405319609294,-0.301954211727781,-0.21101996413999,-0.278416779107052,-0.263256182728216,-0.367506461167121,-0.22755685993201,-0.258574053057755,-0.193618552179031,-0.251209981210146
