"","sub","mu_1_htgt/hdst_.2","mu_1_htgt/ldst_.2","mu_1_ltgt/ldst_.2","mu_1_ltgt/hdst_.2","mu_1_htgt/hdst_.5","mu_1_htgt/ldst_.5","mu_1_ltgt/ldst_.5","mu_1_ltgt/hdst_.5","mu_1_htgt/hdst_.8","mu_1_htgt/ldst_.8","mu_1_ltgt/ldst_.8","mu_1_ltgt/hdst_.8","mu_2_htgt/hdst_.2","mu_2_htgt/ldst_.2","mu_2_ltgt/ldst_.2","mu_2_ltgt/hdst_.2","mu_2_htgt/hdst_.5","mu_2_htgt/ldst_.5","mu_2_ltgt/ldst_.5","mu_2_ltgt/hdst_.5","mu_2_htgt/hdst_.8","mu_2_htgt/ldst_.8","mu_2_ltgt/ldst_.8","mu_2_ltgt/hdst_.8","vari_1_htgt/hdst_.2","vari_1_htgt/ldst_.2","vari_1_ltgt/ldst_.2","vari_1_ltgt/hdst_.2","vari_1_htgt/hdst_.5","vari_1_htgt/ldst_.5","vari_1_ltgt/ldst_.5","vari_1_ltgt/hdst_.5","vari_1_htgt/hdst_.8","vari_1_htgt/ldst_.8","vari_1_ltgt/ldst_.8","vari_1_ltgt/hdst_.8","vari_2_htgt/hdst_.2","vari_2_htgt/ldst_.2","vari_2_ltgt/ldst_.2","vari_2_ltgt/hdst_.2","vari_2_htgt/hdst_.5","vari_2_htgt/ldst_.5","vari_2_ltgt/ldst_.5","vari_2_ltgt/hdst_.5","vari_2_htgt/hdst_.8","vari_2_htgt/ldst_.8","vari_2_ltgt/ldst_.8","vari_2_ltgt/hdst_.8"
"109",110,0.866,0.643,0.899,1.055,0.7315,0.5955,0.7485,0.929,0.6735,0.6295,0.68,0.799,0.6315,0.917,0.6995,0.684,0.605,0.6135,0.7055,0.71,0.6525,0.541,0.6245,0.677,0.0328865277777778,0.0274864107142857,0.0422823333333333,0.105653444444444,0.0382725502645503,0.0316424385026738,0.0200908636363636,0.0544787906403941,0.0178395980392157,0.0276224722617354,0.0311524471264368,0.0215107247311828,0.00509266666666667,0.0378376190476191,0.00578833333333334,0.012317619047619,0.0514301025641026,0.0204194838709677,0.0131924329710145,0.0473580214285714,0.00930678153846154,0.0137132571428571,0.0230947380952381,0.0558350303030303
"110",111,0.612,0.816,0.7725,0.698,0.676,0.7455,0.646,0.666,0.6375,0.6975,0.6515,0.677,0.666,0.681,0.616,0.557,0.6085,0.613,0.5725,0.627,0.6015,0.593,0.595,0.588,0.0152417,0.033485619047619,0.0373077666666667,0.0102849523809524,0.0183041908831909,0.0237515579710145,0.0186003870967742,0.0373506433333333,0.0102821129032258,0.0127632155797101,0.0132890635080645,0.01813299,0.016753125,0.1304917,0.006166,0.0055773,0.00666424153846154,0.01512841,0.00584503931451613,0.0206660285714286,0.00854917989417989,0.00864979710144928,0.00833446031746032,0.00926479487179487
"111",112,0.406,0.46,0.451,0.472,0.478,0.478,0.458,0.521,0.46,0.506,0.4815,0.512,0.4285,0.583,0.418,0.5575,0.459,0.501,0.444,0.541,0.45,0.53,0.429,0.5235,0.0144836944444444,0.00910021428571429,0.00725283928571428,0.0106921944444444,0.0125823591397849,0.00840867806267806,0.00960499663865546,0.0245227438423645,0.00702605871212121,0.0101518143939394,0.00489438968253968,0.0130895075757576,0.00973914285714285,0.0148087777777778,0.00351925,0.0025528,0.00765361008403361,0.00732804723707665,0.0141480117647059,0.0155292670454545,0.00742611612903226,0.0141745495798319,0.0053930218487395,0.0156443214285714
"112",113,0.5185,0.514,0.449,0.695,0.5125,0.537,0.492,0.64,0.49,0.488,0.465,0.565,0.434,0.488,0.463,0.5915,0.4775,0.467,0.447,0.5745,0.451,0.452,0.4825,0.556,0.00891041071428572,0.00373427777777778,0.000805333333333333,0.0186384,0.00713358288770054,0.0087519375,0.0061667027027027,0.0213463712121212,0.00742805546218487,0.00511946396396396,0.0101553613445378,0.0144382660098522,0.00825098214285714,0.00483719444444445,0.00290045555555556,0.0301882777777778,0.0114622425320057,0.00469155195681511,0.0110058796791444,0.0226306595365419,0.00924521921921922,0.00361510158730159,0.0117989530583215,0.0112407277310924
"113",114,0.414,0.403,0.483,0.5835,0.453,0.452,0.524,0.577,0.4295,0.429,0.482,0.584,0.4465,0.4045,0.495,0.535,0.45,0.412,0.45,0.5865,0.453,0.424,0.4655,0.532,0.0109375277777778,0.00385352777777778,0.00299941071428572,0.0186865,0.0151437109243697,0.00821031309041836,0.0147272361673414,0.00754116428571429,0.0169778044096728,0.00610614709851552,0.00666875525525526,0.0178659219219219,0.0101456555555556,0.00484645555555556,0.00867344444444445,0.0264725714285714,0.010418709851552,0.00984902418207682,0.00468916825396825,0.0150235294117647,0.0152421936936937,0.00452294736842105,0.00686490396825397,0.00738353978494624
"114",115,0.4775,0.494,0.455,0.541,0.503,0.454,0.4775,0.549,0.464,0.433,0.458,0.4995,0.481,0.445,0.461,0.609,0.4815,0.4195,0.4865,0.632,0.4445,0.4085,0.447,0.528,0.0003844,0.011324,0.00616769642857143,0.0124292857142857,0.00400814778325123,0.00850634084084084,0.00669773015873016,0.00930357007575758,0.00545653556187767,0.00371957777777778,0.00337872063492063,0.00921630645161291,0.00570283928571429,0.00585115555555555,0.00227469642857143,0.0181308571428571,0.0041954,0.00287006587301587,0.00352319786096257,0.00901656111111111,0.00436055873015873,0.00296204871794872,0.00288803492063492,0.00993369411764706
"115",116,0.658,0.562,0.639,0.682,0.557,0.549,0.577,0.614,0.6035,0.6075,0.576,0.618,0.6015,0.5845,0.546,0.614,0.569,0.535,0.563,0.639,0.602,0.5415,0.582,0.645,0.0104885666666667,0.00551983333333333,0.00892527777777778,0.0304293888888889,0.0055711553030303,0.00364726512096774,0.00673528235294118,0.00890972522522522,0.0105527593582888,0.0186942290552585,0.00636124174174174,0.0181217560455192,0.0128839285714286,0.00557171428571429,0.0119300277777778,0.00765136666666667,0.00480443939393939,0.00779917234848485,0.00785345454545455,0.0130643200757576,0.0325727290322581,0.0123090126436782,0.0152908143939394,0.0131991354679803
"116",117,0.364,0.403,0.3565,0.385,0.379,0.39,0.3835,0.41,0.382,0.39,0.373,0.395,0.356,0.361,0.3635,0.3435,0.351,0.36,0.3805,0.3735,0.366,0.373,0.39,0.37,0.00223514285714286,0.0056585,0.00101416666666667,0.116811333333333,0.00276809852216749,0.00393062121212121,0.00183959655172414,0.0123548387096774,0.00790812605042017,0.00367092258064516,0.00233114438502674,0.00561253439153439,0.00281333333333333,0.00685114285714286,0.00372285714285714,0.0174443222222222,0.0038807207977208,0.00499294507575758,0.00300306048387097,0.0119569625668449,0.0030121553030303,0.00501456129032258,0.00576049621212121,0.00580154957983193
"117",118,0.589,0.492,0.544,0.608,0.512,0.466,0.4745,0.565,0.482,0.506,0.493,0.516,0.8565,0.556,0.633,0.5645,0.5385,0.489,0.48,0.6125,0.492,0.465,0.486,0.567,0.03042675,0.0175629523809524,0.0103706944444444,0.00937119444444444,0.0110675473484848,0.0200187311827957,0.0133760796370968,0.0167856950757576,0.0086938428030303,0.0150976951951952,0.0105643139784946,0.0156866456456456,0.0798653444444444,0.0430658095238095,0.00736542857142857,0.0376274107142857,0.0143169015873016,0.0136454924369748,0.00965253931451613,0.0194852751322751,0.00793188571428572,0.0221319025210084,0.00875656559139785,0.0292941354723708
"118",119,0.513,0.513,0.506,0.474,0.4825,0.523,0.524,0.508,0.516,0.529,0.501,0.495,0.425,0.428,0.4535,0.46,0.412,0.4305,0.4285,0.462,0.446,0.455,0.444,0.44,0.00248921111111111,0.00317685714285714,0.00862323809523809,0.00387966666666666,0.00579310962566845,0.0062854039408867,0.00913754367201426,0.00477971182795699,0.0104849046941679,0.0111786733333333,0.00656574628879892,0.00951259885057471,0.01012825,0.000943122222222222,0.00756604444444444,0.00410775,0.00418890184921764,0.0034792367816092,0.00327532620320856,0.0047249696969697,0.00259811612903226,0.00558529166666667,0.00816083529411765,0.00487113663663664
