sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt	rew_tot	left_col	right_col
144	1	84	1	1	1	0.0500	0.0965	1	0	0.466	0	0	82
144	1	85	0	2	1	0.0500	0.0965	0	1	0.461	9	82	82
144	1	86	0	1	1	0.0500	0.0965	0	1	0.453	9	82	82
144	1	87	1	2	2	0.0500	0.0965	0	1	0.497	85	0	0
144	1	88	1	1	1	0.0500	0.0965	1	1	0.566	78	0	82
144	1	89	0	2	3	0.0500	0.0965	1	1	0.650	7	0	82
144	1	90	1	1	1	0.0500	0.0965	0	1	0.393	96	0	0
144	1	91	0	2	1	0.0500	0.0965	0	1	0.390	10	82	82
144	1	92	1	1	3	0.0500	0.0965	1	1	0.570	78	0	82
144	1	93	9	1	1	0.0500	0.0965	1	0	0.427	0	82	0
144	1	94	1	2	2	0.0500	0.0965	0	1	0.501	85	0	0
144	1	95	0	2	2	0.0500	0.0965	1	1	0.469	9	0	82
144	1	96	0	2	2	0.0500	0.0965	1	1	0.432	9	0	82
144	1	97	0	1	1	0.0500	0.0965	1	1	0.496	9	82	0
144	1	98	9	1	1	0.0500	0.0965	1	1	0.490	0	0	82
144	1	99	1	1	1	0.0500	0.0965	0	1	0.427	92	0	0
144	1	100	9	2	3	0.0500	0.0965	0	1	0.387	0	82	82
144	1	101	9	2	2	0.0500	0.0965	1	1	0.510	0	82	0
144	1	102	9	1	3	0.0500	0.0965	0	1	0.415	0	0	0
144	1	103	1	1	3	0.0500	0.0965	0	1	0.398	95	0	0
144	1	104	0	2	2	0.0500	0.0965	1	1	0.601	7	0	82
144	1	105	0	1	1	0.0500	0.0965	1	1	0.510	8	82	0
144	1	106	0	1	1	0.0500	0.0965	1	0	0.833	0	82	0
144	1	107	1	1	3	0.0500	0.0965	0	1	0.430	92	0	0
144	1	108	1	1	1	0.0500	0.0965	1	1	0.629	72	0	82
144	1	109	9	1	1	0.0500	0.0965	0	1	0.280	0	0	0
144	1	110	0	2	2	0.0500	0.0965	1	1	0.646	7	0	82
144	1	111	0	1	3	0.0500	0.0965	0	1	0.523	8	82	82
144	1	112	0	1	3	0.0500	0.0965	0	1	0.388	10	82	82
144	1	113	1	2	2	0.0500	0.0965	0	1	0.554	80	0	0
144	1	114	1	1	1	0.0500	0.0965	0	1	0.355	99	0	0
144	1	115	9	2	1	0.0500	0.0965	0	1	0.343	0	82	82
144	1	116	0	2	1	0.0500	0.0965	0	1	0.376	10	82	82
144	1	117	9	1	3	0.0500	0.0965	1	0	0.354	0	0	82
144	1	118	1	2	3	0.0500	0.0965	0	1	0.378	97	0	0
144	1	119	0	1	1	0.0500	0.0965	1	0	0.355	0	82	0
144	1	120	0	2	3	0.0500	0.0965	0	1	0.346	10	82	82
144	1	121	0	2	3	0.0500	0.0965	0	1	0.395	10	82	82
144	1	122	0	1	2	0.0500	0.0965	0	1	0.421	9	82	82
144	1	123	1	1	3	0.0500	0.0965	0	1	0.370	98	0	0
144	1	124	1	2	3	0.0500	0.0965	0	1	0.327	100	0	0
144	1	125	0	1	2	0.0500	0.0965	1	1	0.555	8	82	0
144	1	126	1	2	2	0.0500	0.0965	1	0	0.397	0	82	0
144	1	127	1	1	1	0.0500	0.0965	0	1	0.412	94	0	0
