trial_num,block_num,reward_type,reward_trial,probability,position,ccw,hrz
419,2,3,0,3,0,0,1
420,2,2,1,2,1,1,0
421,2,4,0,2,0,1,1
422,2,3,9,2,1,0,1
423,2,2,1,3,1,1,0
424,2,4,9,1,0,1,1
425,2,1,9,3,0,0,0
426,2,1,1,3,1,0,0
427,2,1,1,2,1,0,0
428,2,1,1,2,1,0,0
429,2,3,9,1,0,0,1
430,2,1,1,1,1,0,0
431,2,3,0,2,1,0,1
432,2,1,1,1,0,0,0
433,2,2,9,1,0,1,0
434,2,3,9,2,1,0,1
435,2,3,0,3,1,0,1
436,2,4,0,2,1,1,1
437,2,4,0,1,1,1,1
438,2,2,1,2,1,1,0
439,2,1,1,2,1,0,0
440,2,3,9,3,0,0,1
441,2,2,1,1,0,1,0
442,2,1,1,3,1,0,0
443,2,4,0,3,1,1,1
444,2,4,9,3,0,1,1
445,2,3,0,3,1,0,1
446,2,4,9,3,0,1,1
447,2,1,1,2,1,0,0
448,2,3,0,3,1,0,1
449,2,4,0,3,0,1,1
450,2,3,0,3,0,0,1
451,2,2,1,3,0,1,0
452,2,2,1,2,1,1,0
453,2,3,9,1,0,0,1
454,2,3,0,3,0,0,1
455,2,1,1,3,0,0,0
456,2,4,0,3,1,1,1
457,2,2,1,3,0,1,0
458,2,3,0,1,0,0,1
459,2,4,9,3,1,1,1
460,2,4,0,3,0,1,1
461,2,3,9,3,0,0,1
462,2,1,9,1,0,0,0
463,2,3,9,3,1,0,1
464,2,3,0,3,0,0,1
465,2,1,1,2,0,0,0
466,2,3,0,1,1,0,1
467,2,4,0,3,1,1,1
468,2,4,0,1,1,1,1
469,2,1,1,2,0,0,0
470,2,4,0,2,1,1,1
471,2,2,1,2,1,1,0
472,2,3,0,2,1,0,1
473,2,2,9,1,0,1,0
474,2,2,1,3,1,1,0
475,2,4,0,1,0,1,1
476,2,4,0,1,0,1,1
477,2,2,9,3,0,1,0
478,2,1,9,3,0,0,0
479,2,3,0,3,0,0,1
480,2,1,1,3,0,0,0
481,2,4,0,1,0,1,1
482,2,2,9,3,0,1,0
483,2,2,1,2,1,1,0
484,2,1,1,2,0,0,0
485,2,2,1,3,1,1,0
486,2,1,1,3,0,0,0
487,2,2,1,1,0,1,0
488,2,4,0,3,1,1,1
489,2,3,9,3,0,0,1
490,2,3,0,1,0,0,1
491,2,4,0,3,0,1,1
492,2,3,0,2,0,0,1
493,2,3,0,1,0,0,1
494,2,2,1,1,0,1,0
495,2,4,9,1,1,1,1
496,2,4,0,2,1,1,1
497,2,2,1,3,0,1,0
498,2,4,9,3,0,1,1
499,2,2,1,3,1,1,0
500,2,1,1,3,0,0,0
501,2,3,0,3,1,0,1
502,2,1,1,1,0,0,0
503,2,4,0,3,0,1,1
504,2,1,1,3,0,0,0
505,2,4,0,3,1,1,1
506,2,1,1,2,1,0,0
507,2,2,1,1,0,1,0
508,2,3,9,2,1,0,1
509,2,2,9,2,1,1,0
510,2,1,1,3,0,0,0
511,2,2,1,3,0,1,0
512,2,4,0,1,0,1,1
513,2,3,0,3,1,0,1
514,2,4,9,3,1,1,1
515,2,4,0,1,0,1,1
516,2,3,0,2,1,0,1
517,2,2,1,1,0,1,0
518,2,3,0,3,0,0,1
519,2,1,1,3,0,0,0
520,2,4,0,1,0,1,1
521,2,4,0,3,1,1,1
522,2,2,1,1,1,1,0
523,2,4,0,2,1,1,1
524,2,2,1,2,1,1,0
525,2,2,1,3,0,1,0
526,2,3,0,1,1,0,1
527,2,1,1,3,1,0,0
528,2,4,0,3,1,1,1
529,2,2,1,2,1,1,0
530,2,3,0,2,1,0,1
531,2,2,1,3,1,1,0
532,2,3,0,2,1,0,1
533,2,1,1,3,0,0,0
534,2,2,1,1,0,1,0
535,2,4,0,3,0,1,1
536,2,4,0,3,1,1,1
537,2,4,0,3,1,1,1
538,2,3,9,2,0,0,1
539,2,1,9,2,1,0,0
540,2,3,0,2,1,0,1
541,2,2,9,2,1,1,0
542,2,2,1,3,0,1,0
543,2,2,1,1,0,1,0
544,2,2,1,2,0,1,0
545,2,1,9,2,1,0,0
546,2,4,0,2,1,1,1
547,2,3,9,1,0,0,1
548,2,2,1,2,1,1,0
549,2,1,1,3,1,0,0
550,2,2,9,3,1,1,0
551,2,2,1,2,1,1,0
552,2,1,1,1,0,0,0
553,2,4,9,2,1,1,1
554,2,3,0,1,0,0,1
555,2,4,0,2,1,1,1
556,2,2,1,3,1,1,0
557,2,1,9,2,1,0,0
558,2,4,0,2,1,1,1
559,2,4,0,2,1,1,1
560,2,1,1,2,1,0,0
561,2,3,0,2,0,0,1
562,2,2,1,3,1,1,0
563,2,3,0,3,1,0,1
564,2,3,0,3,0,0,1
565,2,3,0,3,1,0,1
566,2,2,1,3,0,1,0
567,2,4,0,1,0,1,1
568,2,3,0,1,0,0,1
569,2,3,0,3,0,0,1
570,2,2,1,1,0,1,0
571,2,3,0,2,1,0,1
572,2,4,0,2,0,1,1
